insertid,beatdetail_id,beat_id,outlet_id,sequence,from_date,to_date
1,3077301,869,923198,6,2025-04-06,9999-12-31
2,3077302,62358,923199,23,2025-04-06,9999-12-31
3,3077303,62358,923200,24,2025-04-06,9999-12-31
4,3077304,58140,923201,2,2025-04-06,9999-12-31
5,3077305,5186,923202,31,2025-04-06,9999-12-31
6,3077306,38241,923203,166,2025-04-06,9999-12-31
7,3077307,5186,923204,32,2025-04-06,9999-12-31
8,3077308,4294,923205,84,2025-04-06,9999-12-31
9,3077309,58140,923206,3,2025-04-06,9999-12-31
10,3077310,42760,923207,144,2025-04-06,9999-12-31
11,3077311,64683,434826,1,2025-04-06,9999-12-31
12,3077312,64683,620890,1,2025-04-06,9999-12-31
13,3077313,64683,654448,1,2025-04-06,9999-12-31
14,3077314,64683,654482,1,2025-04-06,9999-12-31
15,3077315,64683,504544,1,2025-04-06,9999-12-31
16,3077316,64683,656999,1,2025-04-06,9999-12-31
17,3077317,64683,654407,1,2025-04-06,9999-12-31
18,3077318,64683,654466,1,2025-04-06,9999-12-31
19,3077319,64683,654523,1,2025-04-06,9999-12-31
20,3077320,64683,654394,1,2025-04-06,9999-12-31
21,3077321,64683,686394,1,2025-04-06,9999-12-31
22,3077322,64683,750384,1,2025-04-06,9999-12-31
23,3077323,64684,524151,1,2025-04-06,9999-12-31
24,3077324,64684,335566,1,2025-04-06,9999-12-31
25,3077325,64684,336054,1,2025-04-06,9999-12-31
26,3077326,64684,336404,1,2025-04-06,9999-12-31
27,3077327,64684,871577,1,2025-04-06,9999-12-31
28,3077328,64684,335411,1,2025-04-06,9999-12-31
29,3077329,64684,335697,1,2025-04-06,9999-12-31
30,3077330,64684,408443,1,2025-04-06,9999-12-31
