order_id,date,fulfilled_date,order_state_id,outlet_id,unit_price,amount,quantity,discount,scheme_discount,skunit_id,batch_id
12629481,2025-06-04,2025-06-04,4,466826,175.37,2104.44,12,0.00,0.00,19,0
12629482,2025-06-04,2025-06-04,4,466826,112.74,5411.52,48,0.00,0.00,22,0
12629483,2025-06-04,2025-06-04,4,466826,112.74,5411.52,48,0.00,0.00,25,0
12629484,2025-06-04,2025-06-04,4,466826,200.42,2405.02,12,0.00,0.00,26,0
12629485,2025-06-04,2025-06-04,4,466826,74.29,10697.64,144,0.00,18.19,40,0
12629486,2025-06-03,2025-06-03,4,466826,73.90,5320.86,72,0.00,3.08,62,0
12629487,2025-06-03,2025-06-03,4,466826,144.60,3470.29,24,0.00,6.02,63,0
12629488,2025-06-03,2025-06-03,4,466826,36.95,4434.05,120,0.00,1.54,66,0
12629489,2025-06-03,2025-06-03,4,466826,15.52,3880.80,250,0.00,0.65,82,0
12629490,2025-06-03,2025-06-03,4,466826,81.68,1470.27,18,0.00,11.14,84,0
12629491,2025-06-03,2025-06-03,4,466826,48.22,867.87,18,0.00,6.57,85,0
12629492,2025-06-02,2025-06-02,4,466826,79.33,2855.88,36,0.00,0.00,88,0
12629493,2025-06-02,2025-06-02,4,466826,79.33,2855.88,36,0.00,0.00,89,0
12629494,2025-06-02,2025-06-02,4,466826,47.60,3426.84,72,0.00,2.51,246,0
12629495,2025-06-02,2025-06-02,4,758424,175.37,1052.22,6,0.00,0.00,19,0
12629496,2025-06-02,2025-06-02,4,758424,116.91,1402.92,12,0.00,0.00,25,0
12629497,2025-06-02,2025-06-02,4,758424,52.67,7583.81,144,0.00,0.26,29,0
12629498,2025-06-02,2025-06-02,4,758424,36.57,877.57,24,0.00,1.92,66,0
12629499,2025-06-02,2025-06-02,4,758424,231.19,924.76,4,0.00,0.00,92,0
12629500,2025-06-02,2025-06-02,4,758424,258.55,775.65,3,0.00,0.00,93,0
12629501,2025-06-02,2025-06-02,4,758424,418.38,836.76,2,0.00,0.00,219,0
12629502,2025-06-01,2025-06-01,4,472532,182.61,365.22,2,0.00,0.00,19,0
12629503,2025-06-01,2025-06-01,4,472532,108.70,217.40,2,0.00,0.00,22,0
12629504,2025-06-01,2025-06-01,4,472532,121.74,243.48,2,0.00,0.00,25,0
12629505,2025-06-01,2025-06-01,4,472532,195.65,391.30,2,0.00,0.00,27,0
12629506,2025-06-01,2025-06-01,4,472532,139.13,278.26,2,0.00,0.00,45,0
12629507,2025-06-01,2025-06-01,4,472532,182.61,365.22,2,0.00,0.00,242,0
